sampling,budget,query,initial_data,scoremean_score,model,score,mean
uncertainty_sampling,100,10,2500,,MultinomialNB,"[0.6782857142857143, 0.674, 0.6794285714285714, 0.678, 0.68, 0.6731428571428572, 0.6682857142857143, 0.6702857142857143, 0.6831428571428572, 0.692]",0.6776571428571428
uncertainty_sampling,100,10,5000,,MultinomialNB,"[0.6896666666666667, 0.6736666666666666, 0.685, 0.6856666666666666, 0.6906666666666667, 0.6696666666666666, 0.681, 0.6876666666666666, 0.6923333333333334, 0.6893333333333334]",0.6844666666666667
uncertainty_sampling,100,10,7500,,MultinomialNB,"[0.6948, 0.7088, 0.6984, 0.7044, 0.6992, 0.6996, 0.7048, 0.6976, 0.716, 0.6944]",0.7018
uncertainty_sampling,100,15,2500,,MultinomialNB,"[0.7171428571428572, 0.7028571428571428, 0.7154285714285714, 0.7065714285714285, 0.708, 0.7102857142857143, 0.7071428571428572, 0.7008571428571428, 0.7088571428571429, 0.7131428571428572]",0.7090285714285715
uncertainty_sampling,100,15,5000,,MultinomialNB,"[0.709, 0.7183333333333334, 0.7123333333333334, 0.712, 0.694, 0.6966666666666667, 0.7056666666666667, 0.714, 0.709, 0.7156666666666667]",0.7086666666666666
uncertainty_sampling,100,15,7500,,MultinomialNB,"[0.7252, 0.7372, 0.7308, 0.7304, 0.7304, 0.7376, 0.7396, 0.726, 0.7272, 0.7328]",0.73172
uncertainty_sampling,100,20,2500,,MultinomialNB,"[0.7674285714285715, 0.7608571428571429, 0.7668571428571429, 0.7648571428571429, 0.7591428571428571, 0.7537142857142857, 0.7691428571428571, 0.768, 0.768, 0.7571428571428571]",0.7635142857142857
uncertainty_sampling,100,20,5000,,MultinomialNB,"[0.7516666666666667, 0.7503333333333333, 0.7543333333333333, 0.7566666666666667, 0.7526666666666667, 0.7496666666666667, 0.7553333333333333, 0.7463333333333333, 0.7543333333333333, 0.7586666666666667]",0.7529999999999999
uncertainty_sampling,100,20,7500,,MultinomialNB,"[0.7572, 0.7548, 0.7432, 0.7428, 0.7532, 0.7428, 0.744, 0.7576, 0.7488, 0.7496]",0.7494000000000001
uncertainty_sampling,300,10,2500,,MultinomialNB,"[0.8002857142857143, 0.8, 0.8062857142857143, 0.7997142857142857, 0.8011428571428572, 0.8034285714285714, 0.7988571428571428, 0.7988571428571428, 0.7977142857142857, 0.796]",0.8002285714285714
uncertainty_sampling,300,10,5000,,MultinomialNB,"[0.7856666666666666, 0.782, 0.7893333333333333, 0.784, 0.7926666666666666, 0.7836666666666666, 0.788, 0.7956666666666666, 0.785, 0.7896666666666666]",0.7875666666666666
uncertainty_sampling,300,10,7500,,MultinomialNB,"[0.778, 0.7704, 0.7752, 0.7768, 0.7752, 0.774, 0.77, 0.7768, 0.7768, 0.7732]",0.77464
uncertainty_sampling,300,15,2500,,MultinomialNB,"[0.8242857142857143, 0.8194285714285714, 0.8071428571428572, 0.8085714285714286, 0.8057142857142857, 0.8245714285714286, 0.816, 0.804, 0.8131428571428572, 0.8125714285714286]",0.8135428571428571
uncertainty_sampling,300,15,5000,,MultinomialNB,"[0.801, 0.796, 0.79, 0.7923333333333333, 0.7863333333333333, 0.785, 0.8036666666666666, 0.7786666666666666, 0.7976666666666666, 0.799]",0.7929666666666667
uncertainty_sampling,300,15,7500,,MultinomialNB,"[0.7664, 0.776, 0.7704, 0.7612, 0.7604, 0.7628, 0.7684, 0.76, 0.768, 0.7668]",0.76604
uncertainty_sampling,300,20,2500,,MultinomialNB,"[0.8045714285714286, 0.7902857142857143, 0.806, 0.7997142857142857, 0.806, 0.8005714285714286, 0.8065714285714286, 0.7951428571428572, 0.7922857142857143, 0.7928571428571428]",0.7994
uncertainty_sampling,300,20,5000,,MultinomialNB,"[0.78, 0.7746666666666666, 0.7786666666666666, 0.772, 0.783, 0.7786666666666666, 0.781, 0.777, 0.774, 0.7766666666666666]",0.7775666666666666
uncertainty_sampling,300,20,7500,,MultinomialNB,"[0.754, 0.7612, 0.7424, 0.7468, 0.7508, 0.744, 0.756, 0.754, 0.7508, 0.7516]",0.7511599999999999
uncertainty_sampling,500,10,2500,,MultinomialNB,"[0.794, 0.8111428571428572, 0.8114285714285714, 0.7945714285714286, 0.8105714285714286, 0.8185714285714286, 0.8031428571428572, 0.8048571428571428, 0.7985714285714286, 0.8108571428571428]",0.8057714285714287
uncertainty_sampling,500,10,5000,,MultinomialNB,"[0.7933333333333333, 0.794, 0.7956666666666666, 0.7776666666666666, 0.7966666666666666, 0.785, 0.8016666666666666, 0.7736666666666666, 0.7996666666666666, 0.798]",0.7915333333333334
uncertainty_sampling,500,10,7500,,MultinomialNB,"[0.7644, 0.754, 0.7664, 0.7596, 0.7532, 0.7604, 0.7616, 0.7636, 0.7604, 0.7524]",0.7595999999999999
uncertainty_sampling,500,15,2500,,MultinomialNB,"[0.7865714285714286, 0.7962857142857143, 0.7754285714285715, 0.7937142857142857, 0.7771428571428571, 0.7837142857142857, 0.7825714285714286, 0.7814285714285715, 0.784, 0.784]",0.7844857142857142
uncertainty_sampling,500,15,5000,,MultinomialNB,"[0.7543333333333333, 0.7526666666666667, 0.7553333333333333, 0.7566666666666667, 0.7626666666666667, 0.7626666666666667, 0.757, 0.75, 0.755, 0.7596666666666667]",0.7566
uncertainty_sampling,500,15,7500,,MultinomialNB,"[0.7316, 0.7244, 0.7376, 0.7308, 0.7304, 0.7404, 0.7304, 0.7316, 0.7356, 0.7312]",0.7324
uncertainty_sampling,500,20,2500,,MultinomialNB,"[0.754, 0.746, 0.7468571428571429, 0.7485714285714286, 0.7568571428571429, 0.7688571428571429, 0.7514285714285714, 0.748, 0.7485714285714286, 0.7525714285714286]",0.7521714285714286
uncertainty_sampling,500,20,5000,,MultinomialNB,"[0.7206666666666667, 0.726, 0.735, 0.7273333333333334, 0.736, 0.7313333333333333, 0.7243333333333334, 0.735, 0.7213333333333334, 0.7293333333333333]",0.7286333333333334
uncertainty_sampling,500,20,7500,,MultinomialNB,"[0.7112, 0.7156, 0.7196, 0.7264, 0.7164, 0.7164, 0.7144, 0.7232, 0.7176, 0.7136]",0.7174400000000001
margin_sampling,100,10,2500,,MultinomialNB,"[0.6614285714285715, 0.6634285714285715, 0.6568571428571428, 0.6405714285714286, 0.6522857142857142, 0.6654285714285715, 0.6474285714285715, 0.6551428571428571, 0.6537142857142857, 0.6514285714285715]",0.6547714285714286
margin_sampling,100,10,5000,,MultinomialNB,"[0.6893333333333334, 0.69, 0.6916666666666667, 0.695, 0.6903333333333334, 0.695, 0.6893333333333334, 0.6893333333333334, 0.6953333333333334, 0.692]",0.6917333333333333
margin_sampling,100,10,7500,,MultinomialNB,"[0.7036, 0.692, 0.7044, 0.7084, 0.6964, 0.6956, 0.7172, 0.6984, 0.696, 0.6968]",0.70088
margin_sampling,100,15,2500,,MultinomialNB,"[0.6857142857142857, 0.6808571428571428, 0.6894285714285714, 0.6988571428571428, 0.6951428571428572, 0.6971428571428572, 0.6805714285714286, 0.6857142857142857, 0.6857142857142857, 0.6885714285714286]",0.6887714285714286
margin_sampling,100,15,5000,,MultinomialNB,"[0.7326666666666667, 0.7203333333333334, 0.7226666666666667, 0.7163333333333334, 0.7333333333333333, 0.7203333333333334, 0.7296666666666667, 0.7276666666666667, 0.726, 0.7243333333333334]",0.7253333333333334
margin_sampling,100,15,7500,,MultinomialNB,"[0.73, 0.7284, 0.7252, 0.7348, 0.7284, 0.7168, 0.7328, 0.7364, 0.7332, 0.7216]",0.7287600000000001
margin_sampling,100,20,2500,,MultinomialNB,"[0.7374285714285714, 0.7408571428571429, 0.7445714285714286, 0.738, 0.7365714285714285, 0.7491428571428571, 0.74, 0.7437142857142857, 0.7385714285714285, 0.7454285714285714]",0.7414285714285714
margin_sampling,100,20,5000,,MultinomialNB,"[0.7446666666666667, 0.7446666666666667, 0.7546666666666667, 0.758, 0.7463333333333333, 0.7506666666666667, 0.7466666666666667, 0.75, 0.758, 0.7463333333333333]",0.75
margin_sampling,100,20,7500,,MultinomialNB,"[0.754, 0.75, 0.7576, 0.7528, 0.7484, 0.7436, 0.7644, 0.7564, 0.7472, 0.746]",0.75204
margin_sampling,300,10,2500,,MultinomialNB,"[0.7805714285714286, 0.7831428571428571, 0.7748571428571429, 0.7888571428571428, 0.7848571428571428, 0.7928571428571428, 0.7765714285714286, 0.7791428571428571, 0.7825714285714286, 0.7731428571428571]",0.7816571428571428
margin_sampling,300,10,5000,,MultinomialNB,"[0.776, 0.783, 0.789, 0.789, 0.782, 0.785, 0.7826666666666666, 0.7826666666666666, 0.7866666666666666, 0.778]",0.7834000000000001
margin_sampling,300,10,7500,,MultinomialNB,"[0.7616, 0.7624, 0.7676, 0.7788, 0.7732, 0.7696, 0.7828, 0.7648, 0.7704, 0.7628]",0.7694000000000001
margin_sampling,300,15,2500,,MultinomialNB,"[0.8048571428571428, 0.8102857142857143, 0.8014285714285714, 0.7948571428571428, 0.8117142857142857, 0.8145714285714286, 0.8014285714285714, 0.8085714285714286, 0.8082857142857143, 0.8028571428571428]",0.8058857142857143
margin_sampling,300,15,5000,,MultinomialNB,"[0.7856666666666666, 0.801, 0.7803333333333333, 0.805, 0.7996666666666666, 0.797, 0.8, 0.7826666666666666, 0.796, 0.7956666666666666]",0.7943
margin_sampling,300,15,7500,,MultinomialNB,"[0.7664, 0.7676, 0.7708, 0.7676, 0.7536, 0.77, 0.7692, 0.762, 0.7716, 0.7572]",0.7656000000000001
margin_sampling,300,20,2500,,MultinomialNB,"[0.7865714285714286, 0.7897142857142857, 0.7851428571428571, 0.7891428571428571, 0.792, 0.7917142857142857, 0.7825714285714286, 0.7971428571428572, 0.7831428571428571, 0.786]",0.7883142857142857
margin_sampling,300,20,5000,,MultinomialNB,"[0.7826666666666666, 0.7623333333333333, 0.7783333333333333, 0.7616666666666667, 0.765, 0.7593333333333333, 0.7823333333333333, 0.7723333333333333, 0.7623333333333333, 0.7676666666666667]",0.7694
margin_sampling,300,20,7500,,MultinomialNB,"[0.7408, 0.754, 0.754, 0.754, 0.7404, 0.7516, 0.7488, 0.7436, 0.7548, 0.7448]",0.74868
margin_sampling,500,10,2500,,MultinomialNB,"[0.7965714285714286, 0.8011428571428572, 0.7965714285714286, 0.7968571428571428, 0.7922857142857143, 0.7977142857142857, 0.7931428571428571, 0.808, 0.8011428571428572, 0.79]",0.7973428571428571
margin_sampling,500,10,5000,,MultinomialNB,"[0.778, 0.7873333333333333, 0.7903333333333333, 0.774, 0.7926666666666666, 0.778, 0.78, 0.7813333333333333, 0.7983333333333333, 0.7956666666666666]",0.7855666666666667
margin_sampling,500,10,7500,,MultinomialNB,"[0.7724, 0.7608, 0.7572, 0.752, 0.752, 0.7572, 0.7616, 0.7492, 0.7656, 0.7584]",0.75864
margin_sampling,500,15,2500,,MultinomialNB,"[0.7714285714285715, 0.7725714285714286, 0.7674285714285715, 0.762, 0.7682857142857142, 0.7705714285714286, 0.7734285714285715, 0.7731428571428571, 0.7777142857142857, 0.7702857142857142]",0.7706857142857142
margin_sampling,500,15,5000,,MultinomialNB,"[0.7493333333333333, 0.752, 0.751, 0.7526666666666667, 0.7343333333333333, 0.747, 0.7453333333333333, 0.7493333333333333, 0.7523333333333333, 0.759]",0.7492333333333334
margin_sampling,500,15,7500,,MultinomialNB,"[0.726, 0.7384, 0.7208, 0.738, 0.7268, 0.7228, 0.7424, 0.7352, 0.7264, 0.7252]",0.7302000000000001
margin_sampling,500,20,2500,,MultinomialNB,"[0.7517142857142857, 0.742, 0.7354285714285714, 0.7482857142857143, 0.7417142857142857, 0.7454285714285714, 0.738, 0.7417142857142857, 0.7434285714285714, 0.744]",0.7431714285714286
margin_sampling,500,20,5000,,MultinomialNB,"[0.7283333333333334, 0.724, 0.7373333333333333, 0.7223333333333334, 0.7286666666666667, 0.731, 0.7286666666666667, 0.7326666666666667, 0.7213333333333334, 0.7293333333333333]",0.7283666666666667
margin_sampling,500,20,7500,,MultinomialNB,"[0.7096, 0.7096, 0.7148, 0.7224, 0.7124, 0.7068, 0.7128, 0.7128, 0.7124, 0.72]",0.71336
entropy_sampling,100,10,2500,,MultinomialNB,"[0.6234285714285714, 0.6334285714285715, 0.6171428571428571, 0.6245714285714286, 0.6148571428571429, 0.6265714285714286, 0.6268571428571429, 0.6262857142857143, 0.6194285714285714, 0.6202857142857143]",0.6232857142857142
